sentence,translate,divided_sentence,divided_sentence_with_ruby,sentence_with_ruby,level
私は食欲がない。,나는 식욕이 없다.,"[""私は"", ""食欲が"", ""ない。""]","[""<ruby>私<rp>(</rp><rt>わたし</rt><rp>)</rp></ruby>は"", ""<ruby>食欲<rp>(</rp><rt>しょくよく</rt><rp>)</rp></ruby>が"", ""ない。""]",<ruby>私<rp>(</rp><rt>わたし</rt><rp>)</rp></ruby>は<ruby>食欲<rp>(</rp><rt>しょくよく</rt><rp>)</rp></ruby>がない。,N3
治療は苦痛を長引かせた。,치료는 고통을 연장시켰다.,"[""治療は"", ""苦痛を"", ""長引かせた。""]","[""<ruby>治療<rp>(</rp><rt>ちりょう</rt><rp>)</rp></ruby>は"", ""<ruby>苦痛<rp>(</rp><rt>くつう</rt><rp>)</rp></ruby>を"", ""<ruby>長引<rp>(</rp><rt>ながび</rt><rp>)</rp></ruby>かせた。""]",<ruby>治療<rp>(</rp><rt>ちりょう</rt><rp>)</rp></ruby>は<ruby>苦痛<rp>(</rp><rt>くつう</rt><rp>)</rp></ruby>を<ruby>長引<rp>(</rp><rt>ながび</rt><rp>)</rp></ruby>かせた。,N2
頭痛い。,머리가 아프다.,"[""頭"", ""痛い。""]","[""<ruby>頭<rp>(</rp><rt>あたま</rt><rp>)</rp></ruby>"", ""<ruby>痛<rp>(</rp><rt>いた</rt><rp>)</rp></ruby>い。""]",<ruby>頭<rp>(</rp><rt>あたま</rt><rp>)</rp></ruby><ruby>痛<rp>(</rp><rt>いた</rt><rp>)</rp></ruby>い。,N2
お腹痛いの？,배 아파?,"[""お腹"", ""痛い"", ""の？""]","[""お<ruby>腹<rp>(</rp><rt>なか</rt><rp>)</rp></ruby>"", ""<ruby>痛<rp>(</rp><rt>いた</rt><rp>)</rp></ruby>い"", ""の？""]",お<ruby>腹<rp>(</rp><rt>なか</rt><rp>)</rp></ruby><ruby>痛<rp>(</rp><rt>いた</rt><rp>)</rp></ruby>いの？,etc
体が触れられたとき肌の感覚器官は脳に信号を送り、エンドルフィンのような化学物質が放出される。,몸이 닿으면 피부의 감각기관이 뇌에 신호를 보내 엔도르핀과 같은 화학물질이 분비된다.,"[""体が"", ""触れられたとき"", ""肌の感覚器官は"", ""脳に"", ""信号を送り、"", ""エンドルフィンのような"", ""化学物質が"", ""放出される。""]","[""<ruby>体<rp>(</rp><rt>からだ</rt><rp>)</rp></ruby>が"", ""<ruby>触<rp>(</rp><rt>ふ</rt><rp>)</rp></ruby>れられたとき"", ""<ruby>肌<rp>(</rp><rt>はだ</rt><rp>)</rp></ruby>の<ruby>感覚<rp>(</rp><rt>かんかく</rt><rp>)</rp></ruby><ruby>器官<rp>(</rp><rt>きかん</rt><rp>)</rp></ruby>は"", ""<ruby>脳<rp>(</rp><rt>のう</rt><rp>)</rp></ruby>に"", ""<ruby>信号<rp>(</rp><rt>しんごう</rt><rp>)</rp></ruby>を<ruby>送<rp>(</rp><rt>おく</rt><rp>)</rp></ruby>り、"", ""エンドルフィンのような"", ""<ruby>化学<rp>(</rp><rt>かがく</rt><rp>)</rp></ruby><ruby>物質<rp>(</rp><rt>ぶっしつ</rt><rp>)</rp></ruby>が"", ""<ruby>放出<rp>(</rp><rt>ほうしゅつ</rt><rp>)</rp></ruby>される。""]",<ruby>体<rp>(</rp><rt>からだ</rt><rp>)</rp></ruby>が<ruby>触<rp>(</rp><rt>ふ</rt><rp>)</rp></ruby>れられたとき<ruby>肌<rp>(</rp><rt>はだ</rt><rp>)</rp></ruby>の<ruby>感覚<rp>(</rp><rt>かんかく</rt><rp>)</rp></ruby><ruby>器官<rp>(</rp><rt>きかん</rt><rp>)</rp></ruby>は<ruby>脳<rp>(</rp><rt>のう</rt><rp>)</rp></ruby>に<ruby>信号<rp>(</rp><rt>しんごう</rt><rp>)</rp></ruby>を<ruby>送<rp>(</rp><rt>おく</rt><rp>)</rp></ruby>り、エンドルフィンのような<ruby>化学<rp>(</rp><rt>かがく</rt><rp>)</rp></ruby><ruby>物質<rp>(</rp><rt>ぶっしつ</rt><rp>)</rp></ruby>が<ruby>放出<rp>(</rp><rt>ほうしゅつ</rt><rp>)</rp></ruby>される。,etc
何かが足に触れるのを感じた。,무언가가 발에 닿는 느낌이 들었다.,"[""何かが"", ""足に"", ""触れるのを"", ""感じた。""]","[""<ruby>何<rp>(</rp><rt>なに</rt><rp>)</rp></ruby>かが"", ""<ruby>足<rp>(</rp><rt>あし</rt><rp>)</rp></ruby>に"", ""<ruby>触<rp>(</rp><rt>ふ</rt><rp>)</rp></ruby>れるのを"", ""<ruby>感<rp>(</rp><rt>かん</rt><rp>)</rp></ruby>じた。""]",<ruby>何<rp>(</rp><rt>なに</rt><rp>)</rp></ruby>かが<ruby>足<rp>(</rp><rt>あし</rt><rp>)</rp></ruby>に<ruby>触<rp>(</rp><rt>ふ</rt><rp>)</rp></ruby>れるのを<ruby>感<rp>(</rp><rt>かん</rt><rp>)</rp></ruby>じた。,etc
手を触れるな。,손대지 마라.,"[""手を"", ""触れるな。""]","[""<ruby>手<rp>(</rp><rt>て</rt><rp>)</rp></ruby>を"", ""<ruby>触<rp>(</rp><rt>ふ</rt><rp>)</rp></ruby>れるな。""]",<ruby>手<rp>(</rp><rt>て</rt><rp>)</rp></ruby>を<ruby>触<rp>(</rp><rt>ふ</rt><rp>)</rp></ruby>れるな。,N2
触るな！,만지지 마세요!,"[""触る"", ""な""]","[""<ruby>触<rp>(</rp><rt>さわ</rt><rp>)</rp></ruby>る"", ""な""]",<ruby>触<rp>(</rp><rt>さわ</rt><rp>)</rp></ruby>るな！,N4
言語を材料に形成される詩は自由な表現力をお勧めている、が、様々な良識手段に依拠する。,"언어를 재료로 형성되는 시는 자유로운 표현력을 권장하고 있지만, 다양한 양심적 수단에 의존한다.","[""言語を"", ""材料に"", ""形成される"", ""詩は"", ""自由な"", ""表現力を"", ""お勧めている、が、"", ""様々な"", ""良識手段に"", ""依拠する。""]","[""<ruby>言語<rp>(</rp><rt>げんご</rt><rp>)</rp></ruby>を"", ""<ruby>材料<rp>(</rp><rt>ざいりょう</rt><rp>)</rp></ruby>に"", ""<ruby>形成<rp>(</rp><rt>けいせい</rt><rp>)</rp></ruby>される"", ""<ruby>詩<rp>(</rp><rt>し</rt><rp>)</rp></ruby>は"", ""<ruby>自由<rp>(</rp><rt>じゆう</rt><rp>)</rp></ruby>な"", ""<ruby>表現<rp>(</rp><rt>ひょうげん</rt><rp>)</rp></ruby><ruby>力<rp>(</rp><rt>りょく</rt><rp>)</rp></ruby>を"", ""お<ruby>勧<rp>(</rp><rt>すす</rt><rp>)</rp></ruby>めている、が、"", ""<ruby>様々<rp>(</rp><rt>さまざま</rt><rp>)</rp></ruby>な"", ""<ruby>良識<rp>(</rp><rt>りょうしき</rt><rp>)</rp></ruby><ruby>手段<rp>(</rp><rt>しゅだん</rt><rp>)</rp></ruby>に"", ""<ruby>依拠<rp>(</rp><rt>いきょ</rt><rp>)</rp></ruby>する。""]",<ruby>言語<rp>(</rp><rt>げんご</rt><rp>)</rp></ruby>を<ruby>材料<rp>(</rp><rt>ざいりょう</rt><rp>)</rp></ruby>に<ruby>形成<rp>(</rp><rt>けいせい</rt><rp>)</rp></ruby>される<ruby>詩<rp>(</rp><rt>し</rt><rp>)</rp></ruby>は<ruby>自由<rp>(</rp><rt>じゆう</rt><rp>)</rp></ruby>な<ruby>表現<rp>(</rp><rt>ひょうげん</rt><rp>)</rp></ruby><ruby>力<rp>(</rp><rt>りょく</rt><rp>)</rp></ruby>をお<ruby>勧<rp>(</rp><rt>すす</rt><rp>)</rp></ruby>めている、が、<ruby>様々<rp>(</rp><rt>さまざま</rt><rp>)</rp></ruby>な<ruby>良識<rp>(</rp><rt>りょうしき</rt><rp>)</rp></ruby><ruby>手段<rp>(</rp><rt>しゅだん</rt><rp>)</rp></ruby>に<ruby>依拠<rp>(</rp><rt>いきょ</rt><rp>)</rp></ruby>する。,etc
その川は家庭や工場からの廃棄物によって汚染されている。,그 강은 가정과 공장에서 나오는 폐기물로 인해 오염되고 있다.,"[""その川は"", ""家庭や工場からの"", ""廃棄物によって"", ""汚染されている。""]","[""その<ruby>川<rp>(</rp><rt>かわ</rt><rp>)</rp></ruby>は"", ""<ruby>家庭<rp>(</rp><rt>かてい</rt><rp>)</rp></ruby>や<ruby>工場<rp>(</rp><rt>こうじょう</rt><rp>)</rp></ruby>からの"", ""<ruby>廃棄<rp>(</rp><rt>はいき</rt><rp>)</rp></ruby><ruby>物<rp>(</rp><rt>ぶつ</rt><rp>)</rp></ruby>によって"", ""<ruby>汚染<rp>(</rp><rt>おせん</rt><rp>)</rp></ruby>されている。""]",その<ruby>川<rp>(</rp><rt>かわ</rt><rp>)</rp></ruby>は<ruby>家庭<rp>(</rp><rt>かてい</rt><rp>)</rp></ruby>や<ruby>工場<rp>(</rp><rt>こうじょう</rt><rp>)</rp></ruby>からの<ruby>廃棄<rp>(</rp><rt>はいき</rt><rp>)</rp></ruby><ruby>物<rp>(</rp><rt>ぶつ</rt><rp>)</rp></ruby>によって<ruby>汚染<rp>(</rp><rt>おせん</rt><rp>)</rp></ruby>されている。,etc
お父さんの破産は家名の汚れでした。,아버지의 파산은 가문의 명예를 실추시켰다.,"[""お父さん"", ""の"", ""破産"", ""は"", ""家名"", ""の"", ""汚れ"", ""でした""]","[""お<ruby>父<rp>(</rp><rt>とう</rt><rp>)</rp></ruby>さん"", ""の"", ""<ruby>破産<rp>(</rp><rt>はさん</rt><rp>)</rp></ruby>"", ""は"", ""<ruby>家名<rp>(</rp><rt>かめい</rt><rp>)</rp></ruby>"", ""の"", ""<ruby>汚<rp>(</rp><rt>よご</rt><rp>)</rp></ruby>れ"", ""でした""]",お<ruby>父<rp>(</rp><rt>とう</rt><rp>)</rp></ruby>さんの<ruby>破産<rp>(</rp><rt>はさん</rt><rp>)</rp></ruby>は<ruby>家名<rp>(</rp><rt>かめい</rt><rp>)</rp></ruby>の<ruby>汚<rp>(</rp><rt>よご</rt><rp>)</rp></ruby>れでした。,etc
バツイチ子持ちは汚点ですか？,이혼 후 자녀를 낳는 것은 오점인가요?,"[""バツイチ"", ""子持ち"", ""は"", ""汚点"", ""です"", ""か""]","[""バツイチ"", ""<ruby>子持<rp>(</rp><rt>こも</rt><rp>)</rp></ruby>ち"", ""は"", ""<ruby>汚点<rp>(</rp><rt>おてん</rt><rp>)</rp></ruby>"", ""です"", ""か""]",バツイチ<ruby>子持<rp>(</rp><rt>こも</rt><rp>)</rp></ruby>ちは<ruby>汚点<rp>(</rp><rt>おてん</rt><rp>)</rp></ruby>ですか？,etc
彼は数枚のコインを取り出した。,그는 동전 몇 개를 꺼냈다.,"[""彼は"", ""数枚の"", ""コインを"", ""取り出した。""]","[""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は"", ""<ruby>数<rp>(</rp><rt>すう</rt><rp>)</rp></ruby><ruby>枚<rp>(</rp><rt>まい</rt><rp>)</rp></ruby>の"", ""コインを"", ""<ruby>取<rp>(</rp><rt>と</rt><rp>)</rp></ruby>り<ruby>出<rp>(</rp><rt>だ</rt><rp>)</rp></ruby>した。""]",<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は<ruby>数<rp>(</rp><rt>すう</rt><rp>)</rp></ruby><ruby>枚<rp>(</rp><rt>まい</rt><rp>)</rp></ruby>のコインを<ruby>取<rp>(</rp><rt>と</rt><rp>)</rp></ruby>り<ruby>出<rp>(</rp><rt>だ</rt><rp>)</rp></ruby>した。,N2
私に紙を一枚下さい。,종이 한 장 주세요.,"[""私に"", ""紙を"", ""一枚"", ""下さい。""]","[""<ruby>私<rp>(</rp><rt>わたし</rt><rp>)</rp></ruby>に"", ""<ruby>紙<rp>(</rp><rt>かみ</rt><rp>)</rp></ruby>を"", ""<ruby>一<rp>(</rp><rt>いち</rt><rp>)</rp></ruby><ruby>枚<rp>(</rp><rt>まい</rt><rp>)</rp></ruby>"", ""<ruby>下<rp>(</rp><rt>くだ</rt><rp>)</rp></ruby>さい。""]",<ruby>私<rp>(</rp><rt>わたし</rt><rp>)</rp></ruby>に<ruby>紙<rp>(</rp><rt>かみ</rt><rp>)</rp></ruby>を<ruby>一<rp>(</rp><rt>いち</rt><rp>)</rp></ruby><ruby>枚<rp>(</rp><rt>まい</rt><rp>)</rp></ruby><ruby>下<rp>(</rp><rt>くだ</rt><rp>)</rp></ruby>さい。,N5
彼は三枚目だ。,그는 세 번째다.,"[""彼は"", ""三枚目だ""]","[""<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は"", ""<ruby>三枚目<rp>(</rp><rt>さんまいめ</rt><rp>)</rp></ruby>だ""]",<ruby>彼<rp>(</rp><rt>かれ</rt><rp>)</rp></ruby>は<ruby>三枚目<rp>(</rp><rt>さんまいめ</rt><rp>)</rp></ruby>だ。,N5
愛は相互的なものです。,사랑은 상호적인 것이다.,"[""愛は"", ""相互的な"", ""ものです。""]","[""<ruby>愛<rp>(</rp><rt>あい</rt><rp>)</rp></ruby>は"", ""<ruby>相互<rp>(</rp><rt>そうご</rt><rp>)</rp></ruby><ruby>的<rp>(</rp><rt>てき</rt><rp>)</rp></ruby>な"", ""ものです。""]",<ruby>愛<rp>(</rp><rt>あい</rt><rp>)</rp></ruby>は<ruby>相互<rp>(</rp><rt>そうご</rt><rp>)</rp></ruby><ruby>的<rp>(</rp><rt>てき</rt><rp>)</rp></ruby>なものです。,N2
どちらが勝ってもおかしくない。両チームとも実力はほぼ互角だからね。,어느 팀이 이겨도 이상하지 않다. 두 팀 모두 실력이 거의 대등하니까요.,"[""どちらが"", ""勝っても"", ""おかしくない。"", ""両チームとも"", ""実力は"", ""ほぼ"", ""互角だからね。""]","[""どちらが"", ""<ruby>勝<rp>(</rp><rt>か</rt><rp>)</rp></ruby>っても"", ""おかしくない。"", ""<ruby>両<rp>(</rp><rt>りょう</rt><rp>)</rp></ruby>チームとも"", ""<ruby>実力<rp>(</rp><rt>じつりょく</rt><rp>)</rp></ruby>は"", ""ほぼ"", ""<ruby>互角<rp>(</rp><rt>ごかく</rt><rp>)</rp></ruby>だからね。""]",どちらが<ruby>勝<rp>(</rp><rt>か</rt><rp>)</rp></ruby>ってもおかしくない。<ruby>両<rp>(</rp><rt>りょう</rt><rp>)</rp></ruby>チームとも<ruby>実力<rp>(</rp><rt>じつりょく</rt><rp>)</rp></ruby>はほぼ<ruby>互角<rp>(</rp><rt>ごかく</rt><rp>)</rp></ruby>だからね。,etc
マジで複雑だ！,정말 복잡하다!,"[""マジで"", ""複雑だ""]","[""マジで"", ""<ruby>複雑<rp>(</rp><rt>ふくざつ</rt><rp>)</rp></ruby>だ""]",マジで<ruby>複雑<rp>(</rp><rt>ふくざつ</rt><rp>)</rp></ruby>だ！,N4
"""horse""の複数形は""horses""です。","""horse""의 복수형은 ""horses""입니다.","[""\""horse\""の"", ""複数形は"", ""\""horses\""です。""]","[""\""horse\""の"", ""<ruby>複数<rp>(</rp><rt>ふくすう</rt><rp>)</rp></ruby><ruby>形<rp>(</rp><rt>がた</rt><rp>)</rp></ruby>は"", ""\""horses\""です。""]","""horse""の<ruby>複数<rp>(</rp><rt>ふくすう</rt><rp>)</rp></ruby><ruby>形<rp>(</rp><rt>がた</rt><rp>)</rp></ruby>は""horses""です。",N2
投稿内容が重複しているようです。,포스팅 내용이 중복된 것 같습니다.,"[""投稿内容が"", ""重複している"", ""ようです。""]","[""<ruby>投稿<rp>(</rp><rt>とうこう</rt><rp>)</rp></ruby><ruby>内容<rp>(</rp><rt>ないよう</rt><rp>)</rp></ruby>が"", ""<ruby>重複<rp>(</rp><rt>じゅうふく</rt><rp>)</rp></ruby>している"", ""ようです。""]",<ruby>投稿<rp>(</rp><rt>とうこう</rt><rp>)</rp></ruby><ruby>内容<rp>(</rp><rt>ないよう</rt><rp>)</rp></ruby>が<ruby>重複<rp>(</rp><rt>じゅうふく</rt><rp>)</rp></ruby>しているようです。,N1
トムは新しい複合機を買った。,톰은 새로운 복합기를 샀다.,"[""トムは"", ""新しい"", ""複合機を"", ""買った。""]","[""トムは"", ""<ruby>新<rp>(</rp><rt>あたら</rt><rp>)</rp></ruby>しい"", ""<ruby>複合<rp>(</rp><rt>ふくごう</rt><rp>)</rp></ruby><ruby>機<rp>(</rp><rt>き</rt><rp>)</rp></ruby>を"", ""<ruby>買<rp>(</rp><rt>か</rt><rp>)</rp></ruby>った。""]",トムは<ruby>新<rp>(</rp><rt>あたら</rt><rp>)</rp></ruby>しい<ruby>複合<rp>(</rp><rt>ふくごう</rt><rp>)</rp></ruby><ruby>機<rp>(</rp><rt>き</rt><rp>)</rp></ruby>を<ruby>買<rp>(</rp><rt>か</rt><rp>)</rp></ruby>った。,N1
郵便が届いた。,우편물이 도착했다.,"[""郵便"", ""が"", ""届いた""]","[""<ruby>郵便<rp>(</rp><rt>ゆうびん</rt><rp>)</rp></ruby>"", ""が"", ""<ruby>届<rp>(</rp><rt>とど</rt><rp>)</rp></ruby>いた""]",<ruby>郵便<rp>(</rp><rt>ゆうびん</rt><rp>)</rp></ruby>が<ruby>届<rp>(</rp><rt>とど</rt><rp>)</rp></ruby>いた。,N3
郵便局に行くの？,우체국에 갈까?,"[""郵便局に"", ""行くの？""]","[""<ruby>郵便<rp>(</rp><rt>ゆうびん</rt><rp>)</rp></ruby><ruby>局<rp>(</rp><rt>きょく</rt><rp>)</rp></ruby>に"", ""<ruby>行<rp>(</rp><rt>い</rt><rp>)</rp></ruby>くの？""]",<ruby>郵便<rp>(</rp><rt>ゆうびん</rt><rp>)</rp></ruby><ruby>局<rp>(</rp><rt>きょく</rt><rp>)</rp></ruby>に<ruby>行<rp>(</rp><rt>い</rt><rp>)</rp></ruby>くの？,N4
その二つの実験は類似の結果を出した。,이 두 실험은 비슷한 결과를 낳았다.,"[""その二つの"", ""実験は"", ""類似の"", ""結果を"", ""出した""]","[""その<ruby>二<rp>(</rp><rt>ふた</rt><rp>)</rp></ruby>つの"", ""<ruby>実験<rp>(</rp><rt>じっけん</rt><rp>)</rp></ruby>は"", ""<ruby>類似<rp>(</rp><rt>るいじ</rt><rp>)</rp></ruby>の"", ""<ruby>結果<rp>(</rp><rt>けっか</rt><rp>)</rp></ruby>を"", ""<ruby>出<rp>(</rp><rt>だ</rt><rp>)</rp></ruby>した""]",その<ruby>二<rp>(</rp><rt>ふた</rt><rp>)</rp></ruby>つの<ruby>実験<rp>(</rp><rt>じっけん</rt><rp>)</rp></ruby>は<ruby>類似<rp>(</rp><rt>るいじ</rt><rp>)</rp></ruby>の<ruby>結果<rp>(</rp><rt>けっか</rt><rp>)</rp></ruby>を<ruby>出<rp>(</rp><rt>だ</rt><rp>)</rp></ruby>した。,N1
この記事で扱う例は、Pascal言語に似た疑似コードを使用しています。,이 글에서 다루는 예제는 파스칼 언어와 유사한 의사 코드를 사용합니다.,"[""この記事で"", ""扱う"", ""例は"", ""Pascal言語に"", ""似た"", ""疑似コードを"", ""使用しています。""]","[""この<ruby>記事<rp>(</rp><rt>きじ</rt><rp>)</rp></ruby>で"", ""<ruby>扱<rp>(</rp><rt>あつか</rt><rp>)</rp></ruby>う"", ""<ruby>例<rp>(</rp><rt>れい</rt><rp>)</rp></ruby>は"", ""Pascal<ruby>言語<rp>(</rp><rt>げんご</rt><rp>)</rp></ruby>に"", ""<ruby>似<rp>(</rp><rt>に</rt><rp>)</rp></ruby>た"", ""疑<ruby>似<rp>(</rp><rt>に</rt><rp>)</rp></ruby>コードを"", ""<ruby>使用<rp>(</rp><rt>しよう</rt><rp>)</rp></ruby>しています。""]",この<ruby>記事<rp>(</rp><rt>きじ</rt><rp>)</rp></ruby>で<ruby>扱<rp>(</rp><rt>あつか</rt><rp>)</rp></ruby>う<ruby>例<rp>(</rp><rt>れい</rt><rp>)</rp></ruby>は、Pascal<ruby>言語<rp>(</rp><rt>げんご</rt><rp>)</rp></ruby>に<ruby>似<rp>(</rp><rt>に</rt><rp>)</rp></ruby>た<ruby>疑似<rp>(</rp><rt>ぎじ</rt><rp>)</rp></ruby>コードを<ruby>使用<rp>(</rp><rt>しよう</rt><rp>)</rp></ruby>しています。,etc
いい天気に恵まれました。,날씨가 좋았다.,"[""いい天気に"", ""恵まれました。""]","[""いい<ruby>天気<rp>(</rp><rt>てんき</rt><rp>)</rp></ruby>に"", ""<ruby>恵<rp>(</rp><rt>めぐ</rt><rp>)</rp></ruby>まれました。""]",いい<ruby>天気<rp>(</rp><rt>てんき</rt><rp>)</rp></ruby>に<ruby>恵<rp>(</rp><rt>めぐ</rt><rp>)</rp></ruby>まれました。,etc
知恵は万代の宝,지혜는 만대의 보물,"[""知恵は"", ""万代の"", ""宝""]","[""<ruby>知恵<rp>(</rp><rt>ちえ</rt><rp>)</rp></ruby>は"", ""<ruby>万代<rp>(</rp><rt>ばんだい</rt><rp>)</rp></ruby>の"", ""<ruby>宝<rp>(</rp><rt>たから</rt><rp>)</rp></ruby>""]",<ruby>知恵<rp>(</rp><rt>ちえ</rt><rp>)</rp></ruby>は<ruby>万代<rp>(</rp><rt>ばんだい</rt><rp>)</rp></ruby>の<ruby>宝<rp>(</rp><rt>たから</rt><rp>)</rp></ruby>,N2
人間の真理の探究に対して不朽の貢献をした書物を、我々は偉大な書物と呼ぶのである。,인간의 진리 탐구에 불멸의 공헌을 한 책을 우리는 위대한 책이라고 부른다.,"[""人間の"", ""真理の"", ""探究に対して"", ""不朽の貢献をした"", ""書物を"", ""我々は"", ""偉大な"", ""書物と"", ""呼ぶのである。""]","[""<ruby>人間<rp>(</rp><rt>にんげん</rt><rp>)</rp></ruby>の"", ""<ruby>真理<rp>(</rp><rt>しんり</rt><rp>)</rp></ruby>の"", ""<ruby>探究<rp>(</rp><rt>たんきゅう</rt><rp>)</rp></ruby>に<ruby>対<rp>(</rp><rt>たい</rt><rp>)</rp></ruby>して"", ""<ruby>不朽<rp>(</rp><rt>ふきゅう</rt><rp>)</rp></ruby>の<ruby>貢献<rp>(</rp><rt>こうけん</rt><rp>)</rp></ruby>をした"", ""<ruby>書物<rp>(</rp><rt>しょもつ</rt><rp>)</rp></ruby>を"", ""<ruby>我々<rp>(</rp><rt>われわれ</rt><rp>)</rp></ruby>は"", ""<ruby>偉大<rp>(</rp><rt>いだい</rt><rp>)</rp></ruby>な"", ""<ruby>書物<rp>(</rp><rt>しょもつ</rt><rp>)</rp></ruby>と"", ""<ruby>呼<rp>(</rp><rt>よ</rt><rp>)</rp></ruby>ぶのである。""]",<ruby>人間<rp>(</rp><rt>にんげん</rt><rp>)</rp></ruby>の<ruby>真理<rp>(</rp><rt>しんり</rt><rp>)</rp></ruby>の<ruby>探究<rp>(</rp><rt>たんきゅう</rt><rp>)</rp></ruby>に<ruby>対<rp>(</rp><rt>たい</rt><rp>)</rp></ruby>して<ruby>不朽<rp>(</rp><rt>ふきゅう</rt><rp>)</rp></ruby>の<ruby>貢献<rp>(</rp><rt>こうけん</rt><rp>)</rp></ruby>をした<ruby>書物<rp>(</rp><rt>しょもつ</rt><rp>)</rp></ruby>を、<ruby>我々<rp>(</rp><rt>われわれ</rt><rp>)</rp></ruby>は<ruby>偉大<rp>(</rp><rt>いだい</rt><rp>)</rp></ruby>な<ruby>書物<rp>(</rp><rt>しょもつ</rt><rp>)</rp></ruby>と<ruby>呼<rp>(</rp><rt>よ</rt><rp>)</rp></ruby>ぶのである。,etc
レーダーで謎の信号を探知した。,레이더로 의문의 신호를 감지했다.,"[""レーダーで"", ""謎の"", ""信号を"", ""探知した。""]","[""レーダーで"", ""<ruby>謎<rp>(</rp><rt>なぞ</rt><rp>)</rp></ruby>の"", ""<ruby>信号<rp>(</rp><rt>しんごう</rt><rp>)</rp></ruby>を"", ""<ruby>探知<rp>(</rp><rt>たんち</rt><rp>)</rp></ruby>した。""]",レーダーで<ruby>謎<rp>(</rp><rt>なぞ</rt><rp>)</rp></ruby>の<ruby>信号<rp>(</rp><rt>しんごう</rt><rp>)</rp></ruby>を<ruby>探知<rp>(</rp><rt>たんち</rt><rp>)</rp></ruby>した。,etc
探検隊は南極への出発を延期した。,탐험대는 남극으로의 출발을 연기했다.,"[""探検隊は"", ""南極への"", ""出発を"", ""延期した。""]","[""<ruby>探検<rp>(</rp><rt>たんけん</rt><rp>)</rp></ruby><ruby>隊<rp>(</rp><rt>たい</rt><rp>)</rp></ruby>は"", ""<ruby>南極<rp>(</rp><rt>なんきょく</rt><rp>)</rp></ruby>への"", ""<ruby>出発<rp>(</rp><rt>しゅっぱつ</rt><rp>)</rp></ruby>を"", ""<ruby>延期<rp>(</rp><rt>えんき</rt><rp>)</rp></ruby>した。""]",<ruby>探検<rp>(</rp><rt>たんけん</rt><rp>)</rp></ruby><ruby>隊<rp>(</rp><rt>たい</rt><rp>)</rp></ruby>は<ruby>南極<rp>(</rp><rt>なんきょく</rt><rp>)</rp></ruby>への<ruby>出発<rp>(</rp><rt>しゅっぱつ</rt><rp>)</rp></ruby>を<ruby>延期<rp>(</rp><rt>えんき</rt><rp>)</rp></ruby>した。,N1
他の仕事を探すよ。,다른 일을 찾아볼게요.,"[""他の"", ""仕事を"", ""探すよ。""]","[""<ruby>他<rp>(</rp><rt>た</rt><rp>)</rp></ruby>の"", ""<ruby>仕事<rp>(</rp><rt>しごと</rt><rp>)</rp></ruby>を"", ""<ruby>探<rp>(</rp><rt>さが</rt><rp>)</rp></ruby>すよ。""]",<ruby>他<rp>(</rp><rt>た</rt><rp>)</rp></ruby>の<ruby>仕事<rp>(</rp><rt>しごと</rt><rp>)</rp></ruby>を<ruby>探<rp>(</rp><rt>さが</rt><rp>)</rp></ruby>すよ。,N4
かぎを捜すのを手伝っていただけませんか。,열쇠를 찾는 데 도움을 주실 수 있나요?,"[""かぎを"", ""捜すのを"", ""手伝って"", ""いただけませんか。""]","[""かぎを"", ""<ruby>捜<rp>(</rp><rt>さが</rt><rp>)</rp></ruby>すのを"", ""<ruby>手伝<rp>(</rp><rt>てつだ</rt><rp>)</rp></ruby>って"", ""いただけませんか。""]",かぎを<ruby>捜<rp>(</rp><rt>さが</rt><rp>)</rp></ruby>すのを<ruby>手伝<rp>(</rp><rt>てつだ</rt><rp>)</rp></ruby>っていただけませんか。,N4
